Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:200
,,SNOMED-CT:33664007,Acetazolamide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:398628008,Activated charcoal,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:96119002,Albendazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:25246002,Allopurinol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:69236009,Amiodarone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:40589005,Amitriptyline,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108537001,Amlodipine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:27658006,Amoxicillin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:354049008,Amphotericin B,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:31087008,Ampicillin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:432555000,Artesunate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:46123006,Ascorbic acid,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:87652004,Atenolol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108600003,Atorvastatin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:74074008,Atracurium,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:73949004,Atropine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:111165009,Azathioprine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:96034006,Azithromycin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:25419009,Barium sulfate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:354053005,Benzoyl peroxide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:29896003,Betamethasone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:13565005,Bisacodyl,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108622005,Budesonide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:27196008,Bupivacaine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:1434005,Calamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:53691001,Calcium gluconate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:14170004,Capreomycin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:40820003,Carbamazepine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:325325006,Carbimazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:81088002,Cefazolin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:96052006,Cefixime,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:3334000,Cefotaxime,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:36893000,Ceftazidime,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:19841008,Ceftriaxone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108655000,Cetirizine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:96316004,Chlorhexidine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:14728000,Chloroquine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:7577004,Ciprofloxacin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:72924009,Clofazimine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:96209002,Clomipramine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:69708003,Clonazepam,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108979001,Clopidogrel,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:5797005,Clotrimazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:68422006,Cloxacillin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:6071000,Coal tar,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:73133000,Colchicine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:17308007,Dapsone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:70702006,Deferoxamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:7561000,Dexamethasone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:48546005,Diazepam,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:60731009,Diethylcarbamazine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:796001,Digoxin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:59187003,Dopamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:10504007,Doxycycline,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:15222008,Enalapril,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108984007,Enoxaparin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:416248007,Entecavir,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:65502005,Epinephrine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:108964008,Epoetin alfa,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:30427009,Erythromycin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:395246009,Escitalopram,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:40648001,Fentanyl,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:31865003,Fluconazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:350086004,Fluorescein,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:53640004,Fluoxetine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:6247001,Folic acid,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:81609008,Furosemide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:387321007,Gentamicin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:332445003,Glutaral,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:64349004,Griseofulvin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED-CT:82264009,Homatropine,,,,,,Drug,N/A,,,,,,,,,,,
